16:34:49: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | main | 45] Logger initialized
16:34:58: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 2
16:34:58: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 2
16:34:58: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 3
16:34:58: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 4
16:34:59: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 3
16:34:59: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 5
16:34:59: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 4
16:34:59: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 6
16:34:59: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 7
16:35:00: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 5
16:35:00: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 8
16:35:00: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 6
16:35:00: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 9
16:35:00: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 10
16:35:01: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 7
16:35:01: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 11
16:35:01: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 8
16:35:01: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 12
16:35:01: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 13
16:35:02: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 9
16:35:02: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 14
16:35:02: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | main | 134] Passed!
